id;spotify_id;nombre;desccripcion;creador;total_canciones
1;5sq06OKQojqvqVDMJxCtZK;JODA LOCA;Un poco de todo;Facu;637
2;3HnClI8VWfX87IUUums2Qz;0600;De lo mejor del trap;Facu;309
